id,userId,movieId,rating,comment
1,1,31,2.5,
2,1,1029,3,
3,1,1061,3,
4,1,1129,2,
5,1,1172,4,
6,1,1263,2,
7,1,1287,2,
8,1,1293,2,
9,1,1339,3.5,
10,1,1343,2,
11,1,1371,2.5,
12,1,1405,1,
13,1,1953,4,
14,1,2105,4,
15,1,2150,3,
16,1,2193,2,
17,1,2294,2,
18,1,2455,2.5,
19,1,2968,1,
20,1,3671,3,
21,2,10,4,
22,2,17,5,
23,2,39,5,
24,2,47,4,
25,2,50,4,
26,2,52,3,
27,2,62,3,
28,2,110,4,
29,2,144,3,
30,2,150,5,
31,2,153,4,
32,2,161,3,
33,2,165,3,
34,2,168,3,
35,2,185,3,
36,2,186,3,
37,2,208,3,
38,2,222,5,
39,2,223,1,
40,2,225,3,
41,2,235,3,
42,2,248,3,
43,2,253,4,
44,2,261,4,
45,2,265,5,
46,2,266,5,
47,2,272,3,
48,2,273,4,
49,2,292,3,
50,2,296,4,
51,2,300,3,
52,2,314,4,
53,2,317,2,
54,2,319,1,
55,2,339,3,
56,2,349,4,
57,2,350,4,
58,2,356,3,
59,2,357,3,
60,2,364,3,
61,2,367,3,
62,2,370,2,
63,2,371,3,
64,2,372,3,
65,2,377,3,
66,2,382,3,
67,2,405,2,
68,2,410,3,
69,2,454,4,
70,2,457,3,
71,2,468,4,
72,2,474,2,
73,2,480,4,
74,2,485,3,
75,2,497,3,
76,2,500,4,
77,2,508,4,
78,2,509,4,
79,2,515,4,
80,2,527,4,
81,2,537,4,
82,2,539,3,
83,2,550,3,
84,2,551,5,
85,2,552,3,
86,2,585,5,
87,2,586,3,
88,2,587,3,
89,2,588,3,
90,2,589,5,
91,2,590,5,
92,2,592,5,
93,2,593,3,
94,2,616,3,
95,2,661,4,
96,2,720,4,
97,3,60,3,
98,3,110,4,
99,3,247,3.5,
100,3,267,3,
101,3,296,4.5,
102,3,318,5,
103,3,355,2.5,
104,3,356,5,
105,3,377,2.5,
106,3,527,3,
107,3,588,3,
108,3,592,3,
109,3,593,3,
110,3,595,2,
111,3,736,3.5,
112,3,778,4,
113,3,866,3,
114,3,1197,5,
115,3,1210,3,
116,3,1235,4,
117,3,1271,3,
118,3,1378,4,
119,3,1580,3.5,
120,3,1721,4.5,
121,3,1884,4,
122,3,2028,4,
123,3,2318,4,
124,3,2513,3,
125,3,2694,3,
126,3,2702,3.5,
127,3,2716,3,
128,3,2762,3.5,
129,3,2841,4,
130,3,2858,4,
131,3,2959,5,
132,3,3243,3,
133,3,3510,4,
134,3,3949,5,
135,3,5349,3,
136,3,5669,3.5,
137,3,6377,3,
138,3,7153,2.5,
139,3,7361,3,
140,3,8622,3.5,
141,3,8636,3,
142,3,27369,3.5,
143,3,44191,3.5,
144,3,48783,4.5,
145,3,50068,4.5,
146,3,58559,3,
147,3,84236,4,
148,4,10,4,
149,4,34,5,
150,4,112,5,
151,4,141,5,
152,4,153,4,
153,4,173,3,
154,4,185,3,
155,4,260,5,
156,4,289,4,
157,4,296,5,
158,4,329,3,
159,4,349,5,
160,4,356,5,
161,4,357,5,
162,4,364,5,
163,4,367,4,
164,4,380,3,
165,4,410,3,
166,4,431,3,
167,4,434,4,
168,4,435,1,
169,4,440,4,
170,4,442,4,
171,4,464,4,
172,4,480,5,
173,4,541,5,
174,4,588,5,
175,4,589,5,
176,4,590,3,
177,4,594,5,
178,4,596,5,
179,4,610,4,
180,4,616,5,
181,4,858,5,
182,4,903,5,
183,4,910,4,
184,4,913,5,
185,4,919,5,
186,4,1011,4,
187,4,1016,4,
188,4,1022,5,
189,4,1028,5,
190,4,1030,5,
191,4,1031,5,
192,4,1032,5,
193,4,1033,5,
194,4,1036,5,
195,4,1073,5,
196,4,1079,5,
197,4,1089,5,
198,4,1097,5,
199,4,1125,5,
200,4,1127,5,
201,4,1136,5,
202,4,1194,5,
203,4,1196,5,
204,4,1197,5,
205,4,1198,5,
206,4,1200,5,
207,4,1206,5,
208,4,1208,5,
209,4,1210,5,
210,4,1213,5,
211,4,1214,5,
212,4,1219,5,
213,4,1220,5,
214,4,1222,5,
215,4,1225,5,
216,4,1230,5,
217,4,1240,5,
218,4,1243,5,
219,4,1257,5,
220,4,1258,5,
221,4,1259,4,
222,4,1265,5,
223,4,1270,5,
224,4,1278,5,
225,4,1282,5,
226,4,1285,4,
227,4,1288,5,
228,4,1291,5,
229,4,1298,4,
230,4,1307,4,
231,4,1332,4,
232,4,1334,5,
233,4,1344,5,
234,4,1356,4,
235,4,1371,4,
236,4,1372,3,
237,4,1374,4,
238,4,1376,3,
239,4,1377,3,
240,4,1380,5,
241,4,1387,5,
242,4,1388,4,
243,4,1396,5,
244,4,1544,3,
245,4,1580,5,
246,4,1663,4,
247,4,1674,5,
248,4,1805,1,
249,4,1858,5,
250,4,1917,4,
251,4,1918,2,
252,4,1953,5,
253,4,1954,5,
254,4,1961,5,
255,4,1967,3,
256,4,1968,5,
257,4,1994,5,
258,4,2000,5,
259,4,2002,3,
260,4,2003,2,
261,4,2005,5,
262,4,2014,4,
263,4,2018,5,
264,4,2020,4,
265,4,2021,4,
266,4,2033,4,
267,4,2034,4,
268,4,2046,5,
269,4,2054,3,
270,4,2064,5,
271,4,2078,5,
272,4,2080,5,
273,4,2081,4,
274,4,2085,5,
275,4,2086,5,
276,4,2087,5,
277,4,2091,5,
278,4,2094,4,
279,4,2096,5,
280,4,2100,5,
281,4,2102,5,
282,4,2105,4,
283,4,2109,5,
284,4,2110,3,
285,4,2114,5,
286,4,2115,5,
287,4,2124,4,
288,4,2140,5,
289,4,2141,4,
290,4,2143,4,
291,4,2144,5,
292,4,2161,5,
293,4,2174,5,
294,4,2193,3,
295,4,2194,5,
296,4,2248,4,
297,4,2263,3,
298,4,2268,5,
299,4,2289,5,
300,4,2348,4,
301,4,2371,4,
302,4,2403,4,
303,4,2406,5,
304,4,2409,4,
305,4,2454,5,
306,4,2467,5,
307,4,2551,4,
308,4,2616,1,
309,4,2628,5,
310,4,2640,5,
311,4,2659,3,
312,4,2683,4,
313,4,2699,4,
314,4,2716,5,
315,4,2723,5,
316,4,2734,4,
317,4,2770,1,
318,4,2788,5,
319,4,2791,5,
320,4,2795,4,
321,4,2797,5,
322,4,2804,5,
323,4,2822,3,
324,4,2867,3,
325,4,2872,5,
326,4,2877,5,
327,4,2902,2,
328,4,2903,1,
329,4,2916,4,
330,4,2918,5,
331,4,2968,5,
332,4,2986,3,
333,4,2987,5,
334,4,2991,5,
335,4,3016,3,
