id,userId,movieId,rating,comment,timestamp
1,1,31,2.5,,1260759144
2,1,1029,3,,1260759179
3,1,1061,3,,1260759182
4,1,1129,2,,1260759185
5,1,1172,4,,1260759205
6,1,1263,2,,1260759151
7,1,1287,2,,1260759187
8,1,1293,2,,1260759148
9,1,1339,3.5,,1260759125
10,1,1343,2,,1260759131
11,1,1371,2.5,,1260759135
12,1,1405,1,,1260759203
13,1,1953,4,,1260759191
14,1,2105,4,,1260759139
15,1,2150,3,,1260759194
16,1,2193,2,,1260759198
17,1,2294,2,,1260759108
18,1,2455,2.5,,1260759113
19,1,2968,1,,1260759200
20,1,3671,3,,1260759117
21,2,10,4,,835355493
22,2,17,5,,835355681
23,2,39,5,,835355604
24,2,47,4,,835355552
25,2,50,4,,835355586
26,2,52,3,,835356031
27,2,62,3,,835355749
28,2,110,4,,835355532
29,2,144,3,,835356016
30,2,150,5,,835355395
31,2,153,4,,835355441
32,2,161,3,,835355493
33,2,165,3,,835355441
34,2,168,3,,835355710
35,2,185,3,,835355511
36,2,186,3,,835355664
37,2,208,3,,835355511
38,2,222,5,,835355840
39,2,223,1,,835355749
40,2,225,3,,835355552
41,2,235,3,,835355664
42,2,248,3,,835355896
43,2,253,4,,835355511
44,2,261,4,,835355681
45,2,265,5,,835355697
46,2,266,5,,835355586
47,2,272,3,,835355767
48,2,273,4,,835355779
49,2,292,3,,835355492
50,2,296,4,,835355395
51,2,300,3,,835355532
52,2,314,4,,835356044
53,2,317,2,,835355551
54,2,319,1,,835355918
55,2,339,3,,835355492
56,2,349,4,,835355441
57,2,350,4,,835355697
58,2,356,3,,835355628
59,2,357,3,,835355749
60,2,364,3,,835355604
61,2,367,3,,835355619
62,2,370,2,,835355932
63,2,371,3,,835355968
64,2,372,3,,835356094
65,2,377,3,,835355710
66,2,382,3,,835356165
67,2,405,2,,835356246
68,2,410,3,,835355532
69,2,454,4,,835355604
70,2,457,3,,835355511
71,2,468,4,,835355790
72,2,474,2,,835355828
73,2,480,4,,835355643
74,2,485,3,,835355918
75,2,497,3,,835355880
76,2,500,4,,835355731
77,2,508,4,,835355860
78,2,509,4,,835355719
79,2,515,4,,835355817
80,2,527,4,,835355731
81,2,537,4,,835356199
82,2,539,3,,835355767
83,2,550,3,,835356109
84,2,551,5,,835355767
85,2,552,3,,835355860
86,2,585,5,,835355817
87,2,586,3,,835355790
88,2,587,3,,835355779
89,2,588,3,,835355441
90,2,589,5,,835355697
91,2,590,5,,835355395
92,2,592,5,,835355395
93,2,593,3,,835355511
94,2,616,3,,835355932
95,2,661,4,,835356141
96,2,720,4,,835355978
97,3,60,3,,1298861675
98,3,110,4,,1298922049
99,3,247,3.5,,1298861637
100,3,267,3,,1298861761
101,3,296,4.5,,1298862418
102,3,318,5,,1298862121
103,3,355,2.5,,1298861589
104,3,356,5,,1298862167
105,3,377,2.5,,1298923242
106,3,527,3,,1298862528
107,3,588,3,,1298922100
108,3,592,3,,1298923247
109,3,593,3,,1298921840
110,3,595,2,,1298923260
111,3,736,3.5,,1298932787
112,3,778,4,,1298863157
113,3,866,3,,1298861687
114,3,1197,5,,1298932770
115,3,1210,3,,1298921795
116,3,1235,4,,1298861628
117,3,1271,3,,1298861605
118,3,1378,4,,1298861658
119,3,1580,3.5,,1298922089
120,3,1721,4.5,,1298923236
121,3,1884,4,,1298863143
122,3,2028,4,,1298921862
123,3,2318,4,,1298861753
124,3,2513,3,,1298861789
125,3,2694,3,,1298862710
126,3,2702,3.5,,1298861796
127,3,2716,3,,1298924017
128,3,2762,3.5,,1298922057
129,3,2841,4,,1298861733
130,3,2858,4,,1298921825
131,3,2959,5,,1298862874
132,3,3243,3,,1298861968
133,3,3510,4,,1298861633
134,3,3949,5,,1298863174
135,3,5349,3,,1298923266
136,3,5669,3.5,,1298862672
137,3,6377,3,,1298922080
138,3,7153,2.5,,1298921787
139,3,7361,3,,1298922065
140,3,8622,3.5,,1298861650
141,3,8636,3,,1298932766
142,3,27369,3.5,,1298862555
143,3,44191,3.5,,1298932740
144,3,48783,4.5,,1298862361
145,3,50068,4.5,,1298862467
146,3,58559,3,,1298922071
147,3,84236,4,,1298922130
148,4,10,4,,949810645
149,4,34,5,,949919556
150,4,112,5,,949810582
151,4,141,5,,949919681
152,4,153,4,,949811346
153,4,173,3,,949811346
154,4,185,3,,949920047
155,4,260,5,,949779042
156,4,289,4,,949778802
157,4,296,5,,949895708
158,4,329,3,,949810618
159,4,349,5,,949810582
160,4,356,5,,949919763
161,4,357,5,,949919681
162,4,364,5,,949949538
163,4,367,4,,949895887
164,4,380,3,,949810534
165,4,410,3,,949919883
166,4,431,3,,949895772
167,4,434,4,,949810688
168,4,435,1,,949920135
169,4,440,4,,949919802
170,4,442,4,,949920028
171,4,464,4,,949811315
172,4,480,5,,949810582
173,4,541,5,,949779091
174,4,588,5,,949949486
175,4,589,5,,949919938
176,4,590,3,,949810534
177,4,594,5,,949949538
178,4,596,5,,949949638
179,4,610,4,,949982238
180,4,616,5,,949949444
181,4,858,5,,949779022
182,4,903,5,,949919189
183,4,910,4,,949919306
184,4,913,5,,949919247
185,4,919,5,,949949396
186,4,1011,4,,949919454
187,4,1016,4,,949919322
188,4,1022,5,,949949638
189,4,1028,5,,949949638
190,4,1030,5,,949896377
191,4,1031,5,,949896377
192,4,1032,5,,949949538
193,4,1033,5,,949949638
194,4,1036,5,,949896244
195,4,1073,5,,949919372
196,4,1079,5,,949811523
197,4,1089,5,,949895732
